league,group,club,superscore_coach,superscore_change_date,previous_superscore_coach,confirmed_superscore_coach,pending_superscore_coach,superscore_history_version,ninetyminut_coach,previous_90minut_coach,change_date,comment,comment_updated_at,last_checked,is_difference,result
3 Liga,Group 4,Star Starachowice,Dariusz Pietrasiak,,,Dariusz Pietrasiak,,2,Dariusz Pietrasiak,,2 maja 2025,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 4,Wieczysta II Kraków,Rafał Jędrszczyk,,,Rafał Jędrszczyk,,2,Rafał Jędrszczyk,,28 czerwca 2025,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 4,Wisła II Kraków,Karol Nędza,,,Karol Nędza,,2,Karol Nędza,,31 marca 2025,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 4,Wisłoka Dębica,Michał Bogacz,,,Michał Bogacz,,2,Michał Bogacz,,22 lipca 2026,,,2026-09-24 15:33:01,False,MATCH
3 Liga,Group 4,Wiślanie Skawina,Radoslaw Jacek,,,Radoslaw Jacek,,2,Radosław Jacek,,21 czerwca 2025,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,Cracovia,Bartosz Grzelak,,,Bartosz Grzelak,,2,Bartosz Grzelak,,20 kwietnia 2026,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,GKS Katowice,Rafał Górak,,,Rafał Górak,,2,Rafał Górak,,3 czerwca 2019,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,Górnik Zabrze,Michal Gasparik,,,Michal Gasparik,,2,Michal Gašparík,,6 czerwca 2025,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,Jagiellonia Białystok,Adrian Siemieniec,,,Adrian Siemieniec,,2,Adrian Siemieniec,,4 kwietnia 2023,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,Korona Kielce,Jacek Zieliński,,,Jacek Zieliński,,2,Jacek Zieliński,,7 sierpnia 2024,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,Lech Poznań,Niels Frederiksen,,,Niels Frederiksen,,2,Niels Frederiksen,,26 maja 2024,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,Legia Warszawa,Marek Papszun,,,Marek Papszun,,2,Marek Papszun,,19 grudnia 2025,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,Motor Lublin,Mariusz Misiura,,,Mariusz Misiura,,2,Mariusz Misiura,,18 czerwca 2026,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,Piast Gliwice,Daniel Myśliwiec,,,Daniel Myśliwiec,,2,Daniel Myśliwiec,,23 października 2025,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,Pogoń Szczecin,Oscar Garcia,,,Oscar Garcia,,2,Óscar García,,23 czerwca 2026,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,Radomiak Radom,Rafal Grzyb,,,Rafal Grzyb,,2,Rafał Grzyb,,8 września 2026,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,Raków Częstochowa,Tomasz Kaczmarek,,,Tomasz Kaczmarek,,2,Tomasz Kaczmarek,,8 września 2026,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,Widzew Łódź,Mateusz Stolarski,,,Mateusz Stolarski,,2,Mateusz Stolarski,,11 września 2026,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,Wieczysta Kraków,Zeljko Kopic,,,Zeljko Kopic,,2,Željko Kopić,,26 sierpnia 2026,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,Wisła Kraków,Mariusz Jop,,,Mariusz Jop,,2,Mariusz Jop,,24 września 2024,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,Wisła Płock,Adam Majewski,,,Adam Majewski,,2,Adam Majewski,,22 czerwca 2026,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,Zagłębie Lubin,Leszek Ojrzyński,,,Leszek Ojrzyński,,2,Leszek Ojrzyński,,13 marca 2025,,,2026-09-24 15:33:01,False,MATCH
Ekstraklasa,,Śląsk Wrocław,Ante Simundza,,,Ante Simundza,,2,Ante Šimundža,,24 grudnia 2024,,,2026-09-24 15:33:01,False,MATCH
