league,group,club,superscore_url,ninetyminut_url
3 Liga,Group 3,Sparta Katowice,https://superscore.live/pl-PL/pilka-nozna/druzyny/sparta-katowice/tomn8jl0/sklad,http://www.90minut.pl/skarb.php?id_klub=4018&id_sezon=109
3 Liga,Group 3,Stal Brzeg,https://superscore.live/pl-PL/pilka-nozna/druzyny/stal-brzeg/9ybype0l/sklad,http://www.90minut.pl/skarb.php?id_klub=12983&id_sezon=109
3 Liga,Group 3,Karkonosze Jelenia Góra,https://superscore.live/pl-PL/pilka-nozna/druzyny/karkonosze-jelenia-gora/1p11igwl/sklad,http://www.90minut.pl/skarb.php?id_klub=140&id_sezon=109
3 Liga,Group 3,Górnik Polkowice,https://superscore.live/pl-PL/pilka-nozna/druzyny/gornik-polkowice/egklkumz/sklad,http://www.90minut.pl/skarb.php?id_klub=95&id_sezon=109
3 Liga,Group 3,ROW Rybnik,https://superscore.live/pl-PL/pilka-nozna/druzyny/row-rybnik/huynhrlf/sklad,
3 Liga,Group 3,KS Stilon Gorzów Wielkopolski,https://superscore.live/pl-PL/pilka-nozna/druzyny/stilon-gorzow-wlkp/02k61nbo/sklad,http://www.90minut.pl/skarb.php?id_klub=15203&id_sezon=109
3 Liga,Group 3,LKS Goczałkowice Zdrój,https://superscore.live/pl-PL/pilka-nozna/druzyny/lks-goczalkowice/1dfqtyz3/sklad,http://www.90minut.pl/skarb.php?id_klub=3932&id_sezon=109
3 Liga,Group 3,Miedź II Legnica,https://superscore.live/pl-PL/pilka-nozna/druzyny/miedz-legnica-ii/j8rt0s0s/sklad,http://www.90minut.pl/skarb.php?id_klub=3397&id_sezon=109
3 Liga,Group 3,Carina Gubin,https://superscore.live/pl-PL/pilka-nozna/druzyny/carina-gubin/e2rw4coe/sklad,http://www.90minut.pl/skarb.php?id_klub=5741&id_sezon=109
3 Liga,Group 3,MKS Kluczbork,https://superscore.live/pl-PL/pilka-nozna/druzyny/mks-kluczbork/2t49jn2d/sklad,http://www.90minut.pl/skarb.php?id_klub=6607&id_sezon=109
3 Liga,Group 3,Odra Bytom Odrzański,https://superscore.live/pl-PL/pilka-nozna/druzyny/odra-bytom-odrzanski/ycoax9hq/sklad,http://www.90minut.pl/skarb.php?id_klub=5063&id_sezon=109
3 Liga,Group 3,Skra Częstochowa,https://superscore.live/pl-PL/pilka-nozna/druzyny/skra-czestochowa/zxfm5lcy/sklad,http://www.90minut.pl/skarb.php?id_klub=1567&id_sezon=109
3 Liga,Group 3,Ślęza Wrocław,https://superscore.live/pl-PL/pilka-nozna/druzyny/sleza-wroclaw/fio2w30w/sklad,http://www.90minut.pl/skarb.php?id_klub=391&id_sezon=109
3 Liga,Group 3,Słowianin Wolibórz,https://superscore.live/pl-PL/pilka-nozna/druzyny/slowianin-woliborz/lvlhezfv/sklad,http://www.90minut.pl/skarb.php?id_klub=7684&id_sezon=109
3 Liga,Group 3,Warta Gorzów Wielkopolski,https://superscore.live/pl-PL/pilka-nozna/druzyny/warta-gorzow-wielkopolski/562ovxzs/sklad,http://www.90minut.pl/skarb.php?id_klub=12994&id_sezon=109
3 Liga,Group 3,Zagłębie II Lubin,https://superscore.live/pl-PL/pilka-nozna/druzyny/zaglebie-lubin-ii/7hcasuu5/sklad,http://www.90minut.pl/skarb.php?id_klub=1830&id_sezon=109
3 Liga,Group 3,Zagłębie Sosnowiec,https://superscore.live/pl-PL/pilka-nozna/druzyny/zaglebie-sosnowiec/0ak1uaf4/sklad,http://www.90minut.pl/skarb.php?id_klub=440&id_sezon=109
3 Liga,Group 4,AKS 1947 Busko Zdrój,https://superscore.live/pl-PL/pilka-nozna/druzyny/mks-busko-zdroj/k26z42un/sklad,http://www.90minut.pl/skarb.php?id_klub=23163&id_sezon=109
3 Liga,Group 4,Chełmianka Chełm,https://superscore.live/pl-PL/pilka-nozna/druzyny/chelmianka/a1hy78ev/sklad,http://www.90minut.pl/skarb.php?id_klub=880&id_sezon=109
3 Liga,Group 4,Czarni Połaniec,https://superscore.live/pl-PL/pilka-nozna/druzyny/czarni-polaniec/lpv78fs2/sklad,http://www.90minut.pl/skarb.php?id_klub=911&id_sezon=109
